"Name","Season","ActiveFungus","Sightings","X","Y","Sex","AgeClass","Time.in.pop","InfectedDensity.Annual","Infect_Assoc_Sight","SeasonNumeric"
407,"5",0,21,169.083333333333,753.833333333333,"Female","Juvenile",154.583333333333,0.000160981288786114,0,5
409,"5",0,23,186.333333333333,751.583333333333,"Female","Adult",156.833333333333,0.000565504107521806,0.130434782608696,5
41,"5",0,39,149,740.529411764706,"Male","Adult",1453.47058823529,3.45458465688131e-05,0,5
42,"5",0,85,122.740740740741,762.37037037037,"Male","Adult",1458.18518518519,0.000118401291782799,0.0117647058823529,5
423,"5",0,22,38.5,734.625,"Male","Juvenile",195.3125,0,0,5
428,"5",0,23,153.571428571429,759.285714285714,"Female","Adult",139.214285714286,0.000128060400848734,0,5
429,"5",0,28,80.6,747.65,"Female","Juvenile",143.5,6.34734046538041e-06,0,5
49,"5",0,21,123,747.923076923077,"Female","Adult",1452.30769230769,3.70716632365074e-05,0,5
51,"5",0,52,157.6,781.066666666667,"Male","Adult",1444.26666666667,0.000163241000095959,0,5
55,"5",0,26,41.75,736,"Male","Adult",1433,0,0,5
56,"5",0,37,50.95,742.45,"Female","Adult",1450.85,1.54873806028966e-09,0,5
57,"5",0,49,82.0833333333333,750.916666666667,"Female","Adult",1440.75,6.99945124067146e-06,0,5
58,"5",0,55,142.777777777778,781.166666666667,"Female","Adult",1459.88888888889,0.000167239864201851,0,5
62,"5",0,47,167.933333333333,762.2,"Male","Adult",1452.66666666667,0.000244095846443408,0,5
66,"5",0,34,146.333333333333,761,"Female","Adult",1447.66666666667,0.000124613185367427,0,5
7,"5",0,27,163.461538461538,762.538461538462,"Male","Adult",1455.53846153846,0.00019169118756313,0,5
74,"5",0,26,123.6,756.8,"Male","Adult",1473.2,8.37918056910633e-05,0,5
79,"5",0,25,127.5,759.25,"Male","Adult",1463.75,0.000125106129313703,0,5
82,"5",0,36,150,777.857142857143,"Female","Juvenile",1457.07142857143,0.000173934068598206,0,5
85,"5",0,23,140.357142857143,762.5,"Female","Adult",1446.57142857143,0.000144856758110952,0,5
9,"5",0,32,150.9375,761.75,"Male","Adult",1461.5,0.000103256996291438,0,5
93,"5",0,50,177.333333333333,755.166666666667,"Female","Adult",1452.91666666667,0.00030488228818837,0,5
94,"5",0,37,132.7,761.6,"Female","Adult",1459.3,0.00014630103466299,0,5
97,"5",0,72,165.666666666667,763.555555555556,"Male","Adult",1455.77777777778,0.000216741983926359,0,5
98,"5",0,41,155.8,782.8,"Female","Adult",1445,0.000148753191580141,0,5
1,"6",0,26,41.2692307692308,726.653846153846,"Female","Adult",1891.03846153846,0,0,6
10,"6",0,68,149.714285714286,774.839285714286,"Male","Adult",1771.625,0.000409053697925201,0,6
100,"6",0,27,129.08,758.64,"Female","Juvenile",1704.92,0.000444932862231176,0,6
123,"6",0,40,46.8461538461538,713.717948717949,"Female","Juvenile",1746.79487179487,0,0,6
142,"6",0,49,158.553191489362,783.617021276596,"Female","Adult",1764.23404255319,0.000309706774050153,0.0204081632653061,6
143,"6",1,31,132.277777777778,763.388888888889,"Male","Juvenile",1691.66666666667,0.000484204930788267,0.0645161290322581,6
145,"6",0,30,51.8333333333333,716.166666666667,"Female","Juvenile",1762.9,0,0,6
15,"6",0,47,138.761904761905,766.142857142857,"Female","Adult",1734.90476190476,0.000639960395616006,0.0638297872340425,6
153,"6",0,40,126,762.210526315789,"Male","Adult",1700.84210526316,0.000499379580348828,0,6
156,"6",0,32,119.9375,743.15625,"Male","Adult",1628.15625,4.58520301922801e-05,0,6
159,"6",0,27,63.9047619047619,745.428571428571,"Male","Adult",1750.47619047619,3.20693993549563e-05,0,6
162,"6",0,76,85.9852941176471,751.955882352941,"Male","Juvenile",1722.82352941176,1.9337084993499e-06,0,6
163,"6",0,99,143.682926829268,782.646341463415,"Female","Adult",1710.51219512195,0.000533492165517921,0.0707070707070707,6
164,"6",0,72,121.108108108108,762.027027027027,"Male","Adult",1698.48648648649,0.000350359525982781,0.0277777777777778,6
166,"6",0,41,89.0731707317073,736.365853658537,"Male","Adult",1761.53658536585,2.48753521531136e-06,0,6
179,"6",0,126,88.1171171171171,756.378378378378,"Female","Adult",1222.88288288288,4.28161640882708e-08,0,6
181,"6",0,99,154.857142857143,771.912087912088,"Male","Adult",1719.01098901099,0.000248453021725292,0,6
188,"6",0,37,122.166666666667,761.333333333333,"Female","Juvenile",1167.625,0.000375670304258291,0,6
19,"6",0,47,147.780487804878,781.707317073171,"Male","Adult",1779.90243902439,0.000418581160813182,0,6
196,"6",0,87,167.89156626506,769.120481927711,"Female","Adult",1219.24096385542,8.39081909363457e-05,0,6
199,"6",0,99,57.2631578947368,716.231578947368,"Male","Adult",1218.65263157895,1.10229083177963e-08,0,6
201,"6",0,47,42.4565217391304,709.695652173913,"Female","Juvenile",1204.10869565217,0,0,6
206,"6",0,92,94.554347826087,762.923913043478,"Female","Adult",1215.75,4.43319433349003e-07,0,6
208,"6",1,35,146.076923076923,784.192307692308,"Male","Adult",1151.53846153846,0.00048411146170993,0,6
209,"6",0,44,149.878048780488,759.317073170732,"Female","Juvenile",1747.68292682927,0.000215422263519114,0,6
